ENTIDAD,ANIO,VARIABLE,MES,VALOR,MES_NUM,FECHA_PROXY
SAN LUIS POTOSÍ,1987,Precipitacion,ENE,16.0,01,1987-01-15
SINALOA,1987,Precipitacion,ENE,13.8,01,1987-01-15
SONORA,1987,Precipitacion,ENE,4.7,01,1987-01-15
TABASCO,1987,Precipitacion,ENE,70.5,01,1987-01-15
TAMAULIPAS,1987,Precipitacion,ENE,29.6,01,1987-01-15
TLAXCALA,1987,Precipitacion,ENE,0.6,01,1987-01-15
VERACRUZ,1987,Precipitacion,ENE,10.9,01,1987-01-15
YUCATÁN,1987,Precipitacion,ENE,35.2,01,1987-01-15
ZACATECAS,1987,Precipitacion,ENE,51.3,01,1987-01-15
AGUASCALIENTES,1987,Temperatura_Minima,ENE,2.8,01,1987-01-15
BAJA CALIFORNIA,1987,Temperatura_Minima,ENE,4.7,01,1987-01-15
BAJA CALIFORNIA SUR,1987,Temperatura_Minima,ENE,8.3,01,1987-01-15
CAMPECHE,1987,Temperatura_Minima,ENE,15.8,01,1987-01-15
COAHUILA,1987,Temperatura_Minima,ENE,3.2,01,1987-01-15
COLIMA,1987,Temperatura_Minima,ENE,14.3,01,1987-01-15
CHIAPAS,1987,Temperatura_Minima,ENE,14.7,01,1987-01-15
CHIHUAHUA,1987,Temperatura_Minima,ENE,-2.2,01,1987-01-15
CIUDAD DE MÉXICO,1987,Temperatura_Minima,ENE,4.1,01,1987-01-15
DURANGO,1987,Temperatura_Minima,ENE,0.6,01,1987-01-15
GUANAJUATO,1987,Temperatura_Minima,ENE,4.8,01,1987-01-15
GUERRERO,1987,Temperatura_Minima,ENE,15.5,01,1987-01-15
HIDALGO,1987,Temperatura_Minima,ENE,3.0,01,1987-01-15
JALISCO,1987,Temperatura_Minima,ENE,6.5,01,1987-01-15
ESTADO DE MÉXICO,1987,Temperatura_Minima,ENE,2.9,01,1987-01-15
MICHOACÁN,1987,Temperatura_Minima,ENE,7.2,01,1987-01-15
MORELOS,1987,Temperatura_Minima,ENE,9.4,01,1987-01-15
NAYARIT,1987,Temperatura_Minima,ENE,11.0,01,1987-01-15
NUEVO LEÓN,1987,Temperatura_Minima,ENE,4.5,01,1987-01-15
OAXACA,1987,Temperatura_Minima,ENE,11.8,01,1987-01-15
PUEBLA,1987,Temperatura_Minima,ENE,5.7,01,1987-01-15
QUERÉTARO,1987,Temperatura_Minima,ENE,4.4,01,1987-01-15
QUINTANA ROO,1987,Temperatura_Minima,ENE,16.1,01,1987-01-15
SAN LUIS POTOSÍ,1987,Temperatura_Minima,ENE,6.5,01,1987-01-15
SINALOA,1987,Temperatura_Minima,ENE,9.3,01,1987-01-15
