"fecha","n","n.value","nraw","t","logn","log_nraw","year","epiweek","month","normalized_year"
"2017-10-22",4251.666666666667,4790,4790,967,8.35530151613379,8.474494436883122,2017,43,10,2
"2017-10-29",4414.095238095238,4228,4228,974,8.3927846842879,8.34972083747249,2017,44,10,2
"2017-11-05",4517.142857142858,4428,4428,981,8.415856316081593,8.395929103923198,2017,45,11,2
"2017-11-12",4589.523809523809,4492,4492,988,8.431749416265394,8.41027590907016,2017,46,11,2
"2017-11-19",4758.380952380952,7229,7229,995,8.46787288674716,8.88599431515281,2017,47,11,2
"2017-11-26",4777.809523809524,2496,2496,1002,8.47194674087017,7.822845290279774,2017,48,11,2
"2017-12-03",4622.666666666667,1536,1536,1009,8.43894332009518,7.337587743538596,2017,49,12,2
"2017-12-10",4268.714285714285,3323,3323,1016,8.359302191973256,8.10892415597534,2017,50,12,2
"2017-12-17",3849.142857142858,397,397,1023,8.25586553234482,5.986452005284438,2017,51,12,2
"2017-12-24",3398.3809523809523,260,260,1030,8.131348621197851,5.564520407322694,2017,52,12,2
"2017-12-31",2806.8095238095243,68,68,1037,7.940159929443746,4.23410650459726,2018,1,12,3
"2018-01-07",2066.7619047619046,280,280,1044,7.634222095906139,5.638354669333745,2018,2,1,3
"2018-01-14",1420.6666666666667,301,301,1051,7.25958517125767,5.71042701737487,2018,3,1,3
"2018-01-21",928.3333333333334,341,341,1058,6.834467483212305,5.834810737062605,2018,4,1,3
"2018-01-28",623.3333333333334,308,308,1065,6.436684413775978,5.733341276897746,2018,5,1,3
"2018-02-04",417.80952380952385,291,291,1072,6.037416219448236,5.676753802268282,2018,6,2,3
"2018-02-11",274.14285714285717,364,364,1079,5.617290443302758,5.8998973535824915,2018,7,2,3
"2018-02-18",290.61904761904765,416,416,1086,5.675448319054151,6.0330862217988015,2018,8,2,3
"2018-02-25",319.28571428571433,430,430,1093,5.769213454576792,6.066108090103747,2018,9,2,3
"2018-03-04",352.00000000000006,490,490,1100,5.8664680569332965,6.19644412779452,2018,10,3,3
"2018-03-11",374.47619047619054,474,474,1107,5.928195061673716,6.163314804034641,2018,11,3,3
"2018-03-18",396.1428571428572,441,441,1114,5.984296057629369,6.091309882077698,2018,12,3,3
"2018-03-25",408.1428571428572,277,277,1121,6.014064379025223,5.627621113690637,2018,13,3,3
"2018-04-01",415.9047619047619,408,408,1128,6.032857806996529,6.013715156042802,2018,14,4,3
"2018-04-08",422.5714285714286,526,526,1135,6.048722162376513,6.267200548541362,2018,15,4,3
"2018-04-15",435.80952380952385,554,554,1142,6.0794972277862325,6.318968113746434,2018,16,4,3
"2018-04-22",451,575,575,1149,6.113682179832232,6.3561076606958915,2018,17,4,3
"2018-04-29",459.5714285714286,445,445,1156,6.132467954571205,6.100318952020064,2018,18,4,3
"2018-05-06",466.95238095238096,540,540,1163,6.148366540639004,6.293419278846481,2018,19,5,3
"2018-05-13",485.95238095238096,606,606,1170,6.188166337916521,6.408528791059498,2018,20,5,3
"2018-05-20",521.6666666666666,730,730,1177,6.258943912242243,6.594413459749778,2018,21,5,3
"2018-05-27",659.2380952380953,2764,2764,1184,6.492600520326455,7.9247959139564355,2018,22,5,3
"2018-06-03",900.7619047619048,3066,3066,1191,6.804350521539482,8.028455164114252,2018,23,6,3
"2018-06-10",1165.571428571429,1386,1386,1198,7.061824322824208,7.234898420314831,2018,24,6,3
"2018-06-17",1358,1163,1163,1205,7.214504414151143,7.059617628291383,2018,25,6,3
"2018-06-24",1457.047619047619,1091,1091,1212,7.284853572561747,6.9957661563048505,2018,26,6,3
"2018-07-01",1542.809523809524,1138,1138,1219,7.342008357566244,7.037905963447182,2018,27,7,3
"2018-07-08",1617.714285714286,1220,1220,1226,7.389387462325254,7.107425474110705,2018,28,7,3
"2018-07-15",1593.857142857143,1241,1241,1233,7.3745394456009,7.124478262493424,2018,29,7,3
