"Estado","Semana_Epidemiologica","Anio","n","fecha","year","epiweek","month","normalized_year"
"CIUDAD DE MÉXICO",3,2016,0,"2016-01-17",2016,3,1,1
"TLAXCALA",3,2016,0,"2016-01-17",2016,3,1,1
"MICHOACÁN",4,2016,23,"2016-01-24",2016,4,1,1
"CHIAPAS",4,2016,131,"2016-01-24",2016,4,1,1
"GUERRERO",4,2016,141,"2016-01-24",2016,4,1,1
"NUEVO LEÓN",4,2016,191,"2016-01-24",2016,4,1,1
"MORELOS",4,2016,23,"2016-01-24",2016,4,1,1
"TAMAULIPAS",4,2016,59,"2016-01-24",2016,4,1,1
"JALISCO",4,2016,244,"2016-01-24",2016,4,1,1
"VERACRUZ",4,2016,142,"2016-01-24",2016,4,1,1
"NAYARIT",4,2016,119,"2016-01-24",2016,4,1,1
"TABASCO",4,2016,100,"2016-01-24",2016,4,1,1
"SINALOA",4,2016,48,"2016-01-24",2016,4,1,1
"PUEBLA",4,2016,27,"2016-01-24",2016,4,1,1
"QUINTANA ROO",4,2016,73,"2016-01-24",2016,4,1,1
"COLIMA",4,2016,68,"2016-01-24",2016,4,1,1
"YUCATÁN",4,2016,23,"2016-01-24",2016,4,1,1
"MÉXICO",4,2016,10,"2016-01-24",2016,4,1,1
"SONORA",4,2016,52,"2016-01-24",2016,4,1,1
"COAHUILA",4,2016,2,"2016-01-24",2016,4,1,1
"SAN LUIS POTOSÍ",4,2016,6,"2016-01-24",2016,4,1,1
"DURANGO",4,2016,0,"2016-01-24",2016,4,1,1
"OAXACA",4,2016,73,"2016-01-24",2016,4,1,1
"BAJA CALIFORNIA SUR",4,2016,12,"2016-01-24",2016,4,1,1
"HIDALGO",4,2016,9,"2016-01-24",2016,4,1,1
"CAMPECHE",4,2016,17,"2016-01-24",2016,4,1,1
"ZACATECAS",4,2016,0,"2016-01-24",2016,4,1,1
"GUANAJUATO",4,2016,0,"2016-01-24",2016,4,1,1
"BAJA CALIFORNIA",4,2016,2,"2016-01-24",2016,4,1,1
"CHIHUAHUA",4,2016,0,"2016-01-24",2016,4,1,1
"QUERÉTARO",4,2016,0,"2016-01-24",2016,4,1,1
"AGUASCALIENTES",4,2016,0,"2016-01-24",2016,4,1,1
"CIUDAD DE MÉXICO",4,2016,2,"2016-01-24",2016,4,1,1
"TLAXCALA",4,2016,0,"2016-01-24",2016,4,1,1
"NUEVO LEÓN",5,2016,212,"2016-01-31",2016,5,1,1
"CHIAPAS",5,2016,86,"2016-01-31",2016,5,1,1
"MICHOACÁN",5,2016,41,"2016-01-31",2016,5,1,1
"VERACRUZ",5,2016,95,"2016-01-31",2016,5,1,1
"MORELOS",5,2016,47,"2016-01-31",2016,5,1,1
"TAMAULIPAS",5,2016,53,"2016-01-31",2016,5,1,1
"GUERRERO",5,2016,151,"2016-01-31",2016,5,1,1
"JALISCO",5,2016,245,"2016-01-31",2016,5,1,1
"NAYARIT",5,2016,115,"2016-01-31",2016,5,1,1
"TABASCO",5,2016,59,"2016-01-31",2016,5,1,1
"PUEBLA",5,2016,16,"2016-01-31",2016,5,1,1
"MÉXICO",5,2016,11,"2016-01-31",2016,5,1,1
"QUINTANA ROO",5,2016,51,"2016-01-31",2016,5,1,1
"SINALOA",5,2016,49,"2016-01-31",2016,5,1,1
"COLIMA",5,2016,66,"2016-01-31",2016,5,1,1
"SONORA",5,2016,47,"2016-01-31",2016,5,1,1
"YUCATÁN",5,2016,27,"2016-01-31",2016,5,1,1
"COAHUILA",5,2016,4,"2016-01-31",2016,5,1,1
"SAN LUIS POTOSÍ",5,2016,10,"2016-01-31",2016,5,1,1
"AGUASCALIENTES",5,2016,0,"2016-01-31",2016,5,1,1
"BAJA CALIFORNIA",5,2016,0,"2016-01-31",2016,5,1,1
"BAJA CALIFORNIA SUR",5,2016,12,"2016-01-31",2016,5,1,1
"CAMPECHE",5,2016,15,"2016-01-31",2016,5,1,1
"CHIHUAHUA",5,2016,0,"2016-01-31",2016,5,1,1
"CIUDAD DE MÉXICO",5,2016,0,"2016-01-31",2016,5,1,1
"DURANGO",5,2016,0,"2016-01-31",2016,5,1,1
"GUANAJUATO",5,2016,0,"2016-01-31",2016,5,1,1
"HIDALGO",5,2016,6,"2016-01-31",2016,5,1,1
"OAXACA",5,2016,58,"2016-01-31",2016,5,1,1
"QUERÉTARO",5,2016,0,"2016-01-31",2016,5,1,1
"TLAXCALA",5,2016,0,"2016-01-31",2016,5,1,1
"ZACATECAS",5,2016,0,"2016-01-31",2016,5,1,1
"GUERRERO",6,2016,197,"2016-02-07",2016,6,2,1
"NUEVO LEÓN",6,2016,286,"2016-02-07",2016,6,2,1
"CHIAPAS",6,2016,63,"2016-02-07",2016,6,2,1
"VERACRUZ",6,2016,101,"2016-02-07",2016,6,2,1
"MICHOACÁN",6,2016,43,"2016-02-07",2016,6,2,1
"TAMAULIPAS",6,2016,79,"2016-02-07",2016,6,2,1
"JALISCO",6,2016,325,"2016-02-07",2016,6,2,1
"MORELOS",6,2016,51,"2016-02-07",2016,6,2,1
"NAYARIT",6,2016,183,"2016-02-07",2016,6,2,1
"TABASCO",6,2016,81,"2016-02-07",2016,6,2,1
"PUEBLA",6,2016,29,"2016-02-07",2016,6,2,1
"MÉXICO",6,2016,12,"2016-02-07",2016,6,2,1
"QUINTANA ROO",6,2016,41,"2016-02-07",2016,6,2,1
"SINALOA",6,2016,60,"2016-02-07",2016,6,2,1
"COLIMA",6,2016,100,"2016-02-07",2016,6,2,1
"SONORA",6,2016,26,"2016-02-07",2016,6,2,1
"YUCATÁN",6,2016,19,"2016-02-07",2016,6,2,1
"COAHUILA",6,2016,9,"2016-02-07",2016,6,2,1
"SAN LUIS POTOSÍ",6,2016,27,"2016-02-07",2016,6,2,1
